Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas
2023/06/07 12:50:13 pm gmt+5:30,38,male,once a month,beauty and personal care;clothing and fashion;home and kitchen;others,yes,few times a week,categories,multiple pages,1,yes,rarely,found a better price elsewhere,never,no,heavily,yes,3,sometimes,3,3,user-friendly website/app interface,quality of product is very poor according to the big offers
2023/06/07 1:00:08 pm gmt+5:30,26,male,once a month,beauty and personal care;clothing and fashion;home and kitchen,yes,few times a week,categories,multiple pages,1,maybe,sometimes,others,sometimes,no,occasionally,sometimes,1,yes,3,3,competitive prices,product quality and accuracy
2023/06/07 1:00:09 pm gmt+5:30,40,female,less than once a month,beauty and personal care,no,few times a week,categories,multiple pages,4,yes,sometimes,high shipping costs,often,yes,rarely,sometimes,3,no,4,3,user-friendly website/app interface,product quality and accuracy
2023/06/07 1:04:07 pm gmt+5:30,49,female,few times a month,groceries and gourmet food;home and kitchen;others,sometimes,multiple times a day,keyword,multiple pages,1,yes,sometimes,found a better price elsewhere,always,yes,heavily,yes,3,yes,3,2,wide product selection,i have no problem with amazon yet. but others tell me about the refund issues
2023/06/07 1:05:41 pm gmt+5:30,30,male,less than once a month,clothing and fashion,yes,few times a week,categories,multiple pages,5,yes,sometimes,changed my mind or no longer need the item,sometimes,yes,occasionally,yes,3,yes,4,1,wide product selection,product quality and accuracy
2023/06/07 1:25:26 pm gmt+5:30,24,female,less than once a month,clothing and fashion,no,rarely,categories,multiple pages,1,maybe,rarely,high shipping costs,sometimes,no,moderately,yes,2,sometimes,3,2,competitive prices,customer service responsiveness
2023/06/07 1:33:51 pm gmt+5:30,23,female,once a month,beauty and personal care;home and kitchen,yes,few times a week,keyword,first page,1,yes,sometimes,found a better price elsewhere,rarely,no,heavily,yes,2,yes,2,1,wide product selection,shipping speed and reliability
2023/06/07 1:40:37 pm gmt+5:30,27,male,once a month,clothing and fashion,sometimes,few times a month,keyword,multiple pages,4,yes,sometimes,found a better price elsewhere,sometimes,no,occasionally,yes,3,yes,3,4,user-friendly website/app interface,product quality and accuracy
2023/06/07 1:49:06 pm gmt+5:30,28,male,less than once a month,others,no,rarely,keyword,multiple pages,2,maybe,sometimes,changed my mind or no longer need the item,rarely,no,moderately,yes,5,yes,2,2,competitive prices,product quality and accuracy
2023/06/07 2:09:49 pm gmt+5:30,23,male,less than once a month,others,no,few times a week,keyword,first page,3,yes,rarely,changed my mind or no longer need the item,often,yes,moderately,sometimes,2,sometimes,3,2,user-friendly website/app interface,product quality and accuracy
2023/06/07 2:11:50 pm gmt+5:30,46,female,few times a month,home and kitchen,yes,few times a week,categories,multiple pages,1,yes,always,found a better price elsewhere,often,no,occasionally,yes,1,yes,2,2,product recommendations,product quality and accuracy
2023/06/07 2:16:43 pm gmt+5:30,27,male,less than once a month,others,sometimes,rarely,keyword,first page,2,maybe,rarely,others,often,no,heavily,sometimes,3,sometimes,3,3,product recommendations,customer service responsiveness
2023/06/07 2:19:05 pm gmt+5:30,20,female,once a month,home and kitchen,no,rarely,categories,multiple pages,1,yes,sometimes,changed my mind or no longer need the item,often,yes,moderately,yes,3,sometimes,2,3,competitive prices,product quality and accuracy
2023/06/07 2:22:14 pm gmt+5:30,23,female,less than once a month,beauty and personal care;clothing and fashion,no,few times a month,keyword,multiple pages,4,yes,rarely,changed my mind or no longer need the item,sometimes,no,heavily,yes,4,yes,3,4,user-friendly website/app interface,shipping speed and reliability
2023/06/07 2:23:02 pm gmt+5:30,29,female,once a week,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,yes,multiple times a day,keyword,multiple pages,1,yes,often,found a better price elsewhere,never,yes,moderately,yes,2,sometimes,2,2,wide product selection,customer service responsiveness
2023/06/07 2:33:56 pm gmt+5:30,29,female,less than once a month,clothing and fashion,yes,few times a month,others,first page,1,maybe,sometimes,high shipping costs,sometimes,yes,moderately,yes,1,yes,1,3,wide product selection,product quality and accuracy
2023/06/07 2:40:30 pm gmt+5:30,57,female,few times a month,home and kitchen,no,few times a week,categories,multiple pages,1,yes,often,found a better price elsewhere,sometimes,yes,heavily,yes,4,yes,3,3,user-friendly website/app interface,customer service responsiveness
2023/06/07 3:13:52 pm gmt+5:30,25,female,less than once a month,beauty and personal care,no,few times a week,keyword,multiple pages,1,yes,sometimes,found a better price elsewhere,sometimes,no,moderately,yes,4,yes,3,1,user-friendly website/app interface,customer service responsiveness
2023/06/07 3:56:01 pm gmt+5:30,23,female,few times a month,beauty and personal care;others,no,few times a month,categories,multiple pages,1,yes,sometimes,found a better price elsewhere,rarely,no,occasionally,yes,1,sometimes,3,2,product recommendations,product quality and accuracy
2023/06/07 3:58:52 pm gmt+5:30,15,male,once a month,clothing and fashion;others,no,few times a week,keyword,first page,1,yes,sometimes,others,rarely,no,heavily,sometimes,3,sometimes,3,2,wide product selection,product quality and accuracy
2023/06/07 4:10:33 pm gmt+5:30,39,male,less than once a month,clothing and fashion;others,yes,few times a month,keyword,multiple pages,2,yes,often,found a better price elsewhere,sometimes,yes,moderately,yes,3,sometimes,3,2,wide product selection,product quality and accuracy
2023/06/07 4:46:12 pm gmt+5:30,23,female,once a month,beauty and personal care;clothing and fashion,no,few times a month,categories,multiple pages,4,yes,sometimes,found a better price elsewhere,sometimes,no,heavily,yes,3,sometimes,4,3,user-friendly website/app interface,reducing packaging waste
2023/06/07 5:26:20 pm gmt+5:30,25,female,less than once a month,beauty and personal care,no,few times a week,keyword,multiple pages,5,yes,sometimes,high shipping costs,rarely,yes,heavily,yes,3,yes,3,3,competitive prices,shipping speed and reliability
2023/06/07 5:58:12 pm gmt+5:30,37,female,multiple times a week,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,sometimes,few times a week,categories,multiple pages,1,yes,always,changed my mind or no longer need the item,often,yes,heavily,yes,2,sometimes,3,2,wide product selection,reducing packaging waste
2023/06/07 6:15:10 pm gmt+5:30,23,female,few times a month,beauty and personal care;home and kitchen,no,few times a month,categories,multiple pages,3,maybe,sometimes,changed my mind or no longer need the item,sometimes,yes,occasionally,no,3,no,2,2,product recommendations,reducing packaging waste
2023/06/07 6:16:51 pm gmt+5:30,23,female,few times a month,clothing and fashion;home and kitchen,no,few times a week,filter,multiple pages,3,no,sometimes,changed my mind or no longer need the item,sometimes,no,rarely,sometimes,3,no,3,3,user-friendly website/app interface,reducing packaging waste
2023/06/07 6:17:42 pm gmt+5:30,23,female,once a month,clothing and fashion;home and kitchen,sometimes,few times a month,filter,first page,3,maybe,sometimes,changed my mind or no longer need the item,sometimes,yes,occasionally,no,3,no,3,3,product recommendations,reducing packaging waste
2023/06/07 6:18:37 pm gmt+5:30,23,female,once a week,beauty and personal care,no,few times a month,categories,multiple pages,2,no,often,found a better price elsewhere,sometimes,no,occasionally,sometimes,3,no,3,2,product recommendations,customer service responsiveness
2023/06/07 6:20:00 pm gmt+5:30,21,female,once a month,clothing and fashion;home and kitchen,no,few times a month,filter,multiple pages,4,maybe,sometimes,found a better price elsewhere,rarely,yes,moderately,no,2,no,2,4,competitive prices,customer service responsiveness
2023/06/07 6:20:53 pm gmt+5:30,21,female,once a week,clothing and fashion,no,few times a week,filter,multiple pages,3,no,sometimes,found a better price elsewhere,sometimes,no,moderately,no,4,yes,2,1,product recommendations,customer service responsiveness
2023/06/07 6:28:35 pm gmt+5:30,34,female,once a week,beauty and personal care,no,few times a week,filter,multiple pages,2,no,sometimes,found a better price elsewhere,often,yes,occasionally,no,2,no,3,2,competitive prices,customer service responsiveness
2023/06/07 6:29:14 pm gmt+5:30,23,female,few times a month,clothing and fashion;home and kitchen,no,few times a week,filter,multiple pages,3,no,sometimes,found a better price elsewhere,sometimes,no,occasionally,no,3,no,3,1,product recommendations,customer service responsiveness
2023/06/07 6:29:53 pm gmt+5:30,23,female,once a week,beauty and personal care,no,few times a month,filter,multiple pages,3,no,sometimes,found a better price elsewhere,sometimes,no,occasionally,sometimes,3,no,3,2,product recommendations,reducing packaging waste
2023/06/07 6:30:43 pm gmt+5:30,23,prefer not to say,few times a month,clothing and fashion,no,few times a month,categories,multiple pages,3,no,sometimes,changed my mind or no longer need the item,sometimes,yes,occasionally,no,3,no,3,1,competitive prices,customer service responsiveness
2023/06/07 6:31:23 pm gmt+5:30,27,female,once a week,beauty and personal care,no,few times a month,categories,multiple pages,2,no,sometimes,changed my mind or no longer need the item,sometimes,no,rarely,sometimes,3,no,2,1,wide product selection,customer service responsiveness
2023/06/07 7:17:13 pm gmt+5:30,23,female,less than once a month,others,no,rarely,categories,multiple pages,3,maybe,sometimes,changed my mind or no longer need the item,never,yes,occasionally,sometimes,3,sometimes,3,2,wide product selection,product quality and accuracy
2023/06/07 8:20:23 pm gmt+5:30,47,female,less than once a month,clothing and fashion,no,rarely,categories,multiple pages,1,maybe,rarely,changed my mind or no longer need the item,always,no,heavily,yes,5,sometimes,3,2,product recommendations,product quality and accuracy
2023/06/07 8:41:53 pm gmt+5:30,54,male,less than once a month,others,no,rarely,keyword,multiple pages,1,yes,often,found a better price elsewhere,never,yes,heavily,yes,1,yes,3,3,wide product selection,product quality and accuracy
2023/06/07 9:16:59 pm gmt+5:30,46,prefer not to say,once a week,beauty and personal care;home and kitchen,no,few times a month,filter,multiple pages,4,maybe,rarely,changed my mind or no longer need the item,sometimes,no,moderately,no,3,no,3,3,user-friendly website/app interface,reducing packaging waste
2023/06/07 9:17:50 pm gmt+5:30,38,female,once a month,others,no,few times a week,categories,multiple pages,2,no,sometimes,found a better price elsewhere,rarely,no,moderately,yes,3,no,1,3,competitive prices,customer service responsiveness
2023/06/07 9:18:29 pm gmt+5:30,45,female,few times a month,groceries and gourmet food;home and kitchen,sometimes,few times a week,filter,multiple pages,3,maybe,sometimes,changed my mind or no longer need the item,always,yes,moderately,no,1,no,2,2,product recommendations,reducing packaging waste
2023/06/07 9:18:55 pm gmt+5:30,34,male,once a week,clothing and fashion,yes,few times a week,others,multiple pages,4,no,rarely,changed my mind or no longer need the item,often,yes,occasionally,no,4,no,3,2,product recommendations,reducing packaging waste
2023/06/07 9:19:32 pm gmt+5:30,44,female,once a week,clothing and fashion,sometimes,few times a month,categories,multiple pages,2,maybe,sometimes,found a better price elsewhere,sometimes,yes,occasionally,no,5,sometimes,4,3,competitive prices,customer service responsiveness
2023/06/07 9:21:10 pm gmt+5:30,23,female,few times a month,clothing and fashion;home and kitchen;others,sometimes,few times a month,filter,multiple pages,2,no,always,changed my mind or no longer need the item,sometimes,yes,rarely,no,2,no,3,3,competitive prices,customer service responsiveness
2023/06/07 9:21:50 pm gmt+5:30,32,female,once a week,beauty and personal care,yes,few times a week,filter,first page,3,no,often,changed my mind or no longer need the item,sometimes,no,moderately,no,4,no,4,5,product recommendations,customer service responsiveness
2023/06/07 9:22:24 pm gmt+5:30,23,female,once a week,beauty and personal care,yes,multiple times a day,keyword,multiple pages,3,yes,always,changed my mind or no longer need the item,always,yes,occasionally,yes,2,no,4,3,product recommendations,product quality and accuracy
2023/06/07 9:23:39 pm gmt+5:30,23,female,few times a month,clothing and fashion,no,few times a week,filter,first page,2,maybe,always,found a better price elsewhere,often,yes,rarely,no,2,no,3,2,product recommendations,customer service responsiveness
2023/06/07 9:23:41 pm gmt+5:30,23,male,once a week,groceries and gourmet food;clothing and fashion;home and kitchen,no,few times a week,keyword,multiple pages,1,yes,always,changed my mind or no longer need the item,always,yes,heavily,yes,1,yes,1,1,wide product selection,product quality and accuracy
2023/06/07 9:35:08 pm gmt+5:30,19,female,few times a month,clothing and fashion,no,few times a week,categories,multiple pages,2,yes,often,found a better price elsewhere,always,yes,moderately,yes,4,yes,2,2,user-friendly website/app interface,customer service responsiveness
2023/06/07 9:35:23 pm gmt+5:30,23,female,less than once a month,beauty and personal care;others,no,few times a month,keyword,multiple pages,5,yes,sometimes,found a better price elsewhere,always,no,heavily,yes,5,no,4,1,wide product selection,shipping speed and reliability
2023/06/07 9:53:52 pm gmt+5:30,23,female,few times a month,beauty and personal care;clothing and fashion,no,few times a week,keyword,multiple pages,3,no,sometimes,found a better price elsewhere,always,yes,moderately,no,2,yes,3,3,product recommendations,customer service responsiveness
2023/06/07 9:54:24 pm gmt+5:30,34,male,once a week,beauty and personal care;home and kitchen,yes,few times a month,filter,multiple pages,3,no,sometimes,changed my mind or no longer need the item,often,yes,occasionally,no,3,no,3,3,product recommendations,customer service responsiveness
2023/06/07 9:54:56 pm gmt+5:30,34,female,once a week,clothing and fashion,no,few times a week,keyword,multiple pages,3,no,sometimes,found a better price elsewhere,sometimes,no,rarely,sometimes,3,no,2,4,product recommendations,reducing packaging waste
2023/06/07 10:07:42 pm gmt+5:30,34,female,once a month,home and kitchen;others,no,few times a week,keyword,multiple pages,4,yes,often,found a better price elsewhere,sometimes,yes,moderately,sometimes,3,no,4,4,wide product selection,product quality and accuracy
2023/06/07 10:09:17 pm gmt+5:30,23,prefer not to say,few times a month,beauty and personal care,no,few times a week,categories,multiple pages,3,no,often,found a better price elsewhere,often,no,occasionally,no,2,yes,2,3,wide product selection,customer service responsiveness
2023/06/07 10:09:54 pm gmt+5:30,45,female,once a week,clothing and fashion,sometimes,rarely,keyword,multiple pages,2,maybe,always,high shipping costs,rarely,yes,moderately,no,3,sometimes,2,3,competitive prices,customer service responsiveness
2023/06/07 10:10:26 pm gmt+5:30,23,female,once a week,groceries and gourmet food,yes,few times a week,filter,first page,3,no,always,changed my mind or no longer need the item,rarely,yes,rarely,sometimes,2,no,2,1,competitive prices,shipping speed and reliability
2023/06/07 10:10:58 pm gmt+5:30,34,female,once a week,clothing and fashion;home and kitchen,no,few times a month,filter,first page,2,no,sometimes,changed my mind or no longer need the item,often,yes,moderately,no,3,sometimes,3,3,competitive prices,customer service responsiveness
2023/06/07 10:11:28 pm gmt+5:30,37,female,once a week,beauty and personal care,no,few times a week,categories,first page,2,yes,always,found a better price elsewhere,often,no,occasionally,no,3,no,3,3,product recommendations,reducing packaging waste
2023/06/07 10:16:22 pm gmt+5:30,34,female,once a week,clothing and fashion,no,few times a week,filter,multiple pages,2,no,sometimes,changed my mind or no longer need the item,often,yes,occasionally,no,2,no,3,2,competitive prices,customer service responsiveness
2023/06/07 10:16:54 pm gmt+5:30,23,others,once a month,groceries and gourmet food,sometimes,few times a week,filter,multiple pages,3,maybe,sometimes,changed my mind or no longer need the item,sometimes,no,never,sometimes,3,sometimes,3,3,product recommendations,customer service responsiveness
2023/06/07 10:17:40 pm gmt+5:30,45,female,once a week,others,no,rarely,keyword,multiple pages,2,no,sometimes,others,often,no,occasionally,no,3,no,3,3,user-friendly website/app interface,reducing packaging waste
2023/06/07 10:20:09 pm gmt+5:30,26,male,less than once a month,clothing and fashion,yes,few times a week,keyword,multiple pages,5,yes,rarely,found a better price elsewhere,rarely,yes,never,yes,3,yes,1,3,wide product selection,user interface
2023/06/07 10:21:00 pm gmt+5:30,34,female,few times a month,beauty and personal care;clothing and fashion,no,few times a week,categories,multiple pages,2,no,often,changed my mind or no longer need the item,often,no,moderately,no,2,no,2,4,competitive prices,customer service responsiveness
2023/06/07 10:35:06 pm gmt+5:30,21,prefer not to say,once a week,beauty and personal care;clothing and fashion,yes,few times a week,filter,multiple pages,3,no,rarely,changed my mind or no longer need the item,rarely,yes,occasionally,no,3,no,3,5,product recommendations,product quality and accuracy
2023/06/07 10:38:51 pm gmt+5:30,23,prefer not to say,few times a month,clothing and fashion;home and kitchen,sometimes,few times a week,keyword,multiple pages,3,yes,sometimes,found a better price elsewhere,often,no,moderately,no,4,sometimes,3,3,product recommendations,customer service responsiveness
2023/06/07 10:39:21 pm gmt+5:30,41,male,multiple times a week,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,no,multiple times a day,keyword,multiple pages,1,maybe,often,changed my mind or no longer need the item,never,yes,heavily,yes,3,yes,3,4,wide product selection,irrelevant product suggestions
2023/06/07 10:40:10 pm gmt+5:30,32,female,few times a month,beauty and personal care;clothing and fashion,sometimes,few times a week,filter,multiple pages,4,maybe,rarely,found a better price elsewhere,sometimes,no,occasionally,no,3,no,3,3,competitive prices,customer service responsiveness
2023/06/07 10:41:10 pm gmt+5:30,23,female,once a week,beauty and personal care,sometimes,few times a week,filter,multiple pages,3,maybe,rarely,found a better price elsewhere,sometimes,no,occasionally,no,4,sometimes,3,3,competitive prices,shipping speed and reliability
2023/06/07 10:42:24 pm gmt+5:30,22,female,multiple times a week,beauty and personal care,yes,few times a week,keyword,multiple pages,3,maybe,sometimes,changed my mind or no longer need the item,always,no,occasionally,sometimes,4,sometimes,3,4,product recommendations,product quality and accuracy
2023/06/07 10:44:42 pm gmt+5:30,48,female,multiple times a week,clothing and fashion,yes,rarely,keyword,first page,4,no,rarely,high shipping costs,rarely,no,moderately,no,1,sometimes,2,2,wide product selection,shipping speed and reliability
2023/06/07 10:58:04 pm gmt+5:30,32,male,few times a month,groceries and gourmet food,yes,few times a week,filter,multiple pages,3,maybe,rarely,found a better price elsewhere,sometimes,yes,occasionally,yes,3,sometimes,3,3,competitive prices,customer service responsiveness
2023/06/07 10:59:06 pm gmt+5:30,28,prefer not to say,few times a month,beauty and personal care,sometimes,few times a month,categories,multiple pages,3,maybe,sometimes,high shipping costs,sometimes,no,occasionally,sometimes,3,no,3,3,product recommendations,reducing packaging waste
2023/06/07 11:00:15 pm gmt+5:30,23,female,once a week,beauty and personal care,yes,few times a week,filter,first page,3,maybe,rarely,changed my mind or no longer need the item,rarely,no,occasionally,sometimes,3,sometimes,3,3,product recommendations,reducing packaging waste
2023/06/07 11:01:42 pm gmt+5:30,23,female,few times a month,beauty and personal care,no,few times a week,categories,first page,3,yes,rarely,changed my mind or no longer need the item,always,yes,occasionally,no,3,sometimes,3,3,product recommendations,customer service responsiveness
2023/06/07 11:02:45 pm gmt+5:30,26,female,multiple times a week,clothing and fashion,sometimes,few times a week,categories,multiple pages,3,maybe,sometimes,changed my mind or no longer need the item,sometimes,yes,occasionally,no,4,sometimes,3,3,competitive prices,reducing packaging waste
2023/06/07 11:03:50 pm gmt+5:30,34,female,multiple times a week,beauty and personal care,sometimes,few times a week,categories,multiple pages,3,maybe,sometimes,changed my mind or no longer need the item,sometimes,no,moderately,sometimes,4,sometimes,3,3,user-friendly website/app interface,reducing packaging waste
2023/06/07 11:05:19 pm gmt+5:30,23,female,multiple times a week,beauty and personal care,sometimes,few times a week,filter,first page,3,maybe,sometimes,found a better price elsewhere,sometimes,yes,heavily,yes,3,sometimes,3,3,product recommendations,reducing packaging waste
2023/06/07 11:06:40 pm gmt+5:30,22,female,once a week,clothing and fashion,sometimes,few times a month,filter,multiple pages,3,maybe,sometimes,found a better price elsewhere,sometimes,yes,occasionally,sometimes,3,sometimes,3,3,product recommendations,reducing packaging waste
2023/06/07 11:07:55 pm gmt+5:30,32,prefer not to say,once a month,clothing and fashion,sometimes,few times a week,categories,multiple pages,3,maybe,never,changed my mind or no longer need the item,sometimes,no,occasionally,sometimes,3,sometimes,3,4,product recommendations,reducing packaging waste
2023/06/07 11:08:52 pm gmt+5:30,47,female,once a month,clothing and fashion,no,multiple times a day,categories,multiple pages,2,yes,often,high shipping costs,sometimes,yes,moderately,yes,3,sometimes,2,3,user-friendly website/app interface,shipping speed and reliability
2023/06/07 11:10:09 pm gmt+5:30,22,female,few times a month,beauty and personal care,sometimes,few times a week,categories,multiple pages,3,maybe,sometimes,changed my mind or no longer need the item,sometimes,no,occasionally,yes,3,sometimes,3,3,product recommendations,reducing packaging waste
2023/06/08 3:23:21 am gmt+5:30,47,male,few times a month,clothing and fashion;home and kitchen;others,no,few times a week,filter,multiple pages,2,yes,often,changed my mind or no longer need the item,often,no,moderately,no,3,yes,2,2,competitive prices,product quality and accuracy
2023/06/08 3:23:36 am gmt+5:30,22,female,few times a month,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,no,multiple times a day,keyword,multiple pages,1,yes,sometimes,found a better price elsewhere,often,no,heavily,yes,1,sometimes,2,1,competitive prices,customer service responsiveness
2023/06/08 3:23:58 am gmt+5:30,45,prefer not to say,once a month,groceries and gourmet food;beauty and personal care,sometimes,rarely,others,first page,5,maybe,never,others,never,no,never,sometimes,5,sometimes,5,5,user-friendly website/app interface,product quality and accuracy
2023/06/08 3:24:37 am gmt+5:30,21,male,less than once a month,others,sometimes,rarely,others,first page,4,maybe,rarely,changed my mind or no longer need the item,rarely,no,rarely,no,4,sometimes,4,4,wide product selection,shipping speed and reliability
2023/06/08 3:25:14 am gmt+5:30,27,others,few times a month,beauty and personal care;clothing and fashion,no,few times a month,categories,multiple pages,2,no,often,found a better price elsewhere,often,yes,heavily,no,2,yes,2,2,wide product selection,product quality and accuracy
2023/06/08 3:25:32 am gmt+5:30,37,male,less than once a month,groceries and gourmet food;home and kitchen;others,sometimes,few times a week,keyword,multiple pages,1,maybe,sometimes,changed my mind or no longer need the item,sometimes,yes,heavily,sometimes,2,sometimes,2,1,wide product selection,customer service responsiveness
2023/06/08 3:26:03 am gmt+5:30,33,female,multiple times a week,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,no,few times a month,categories,multiple pages,1,yes,always,changed my mind or no longer need the item,often,yes,moderately,yes,2,no,3,2,wide product selection,reducing packaging waste
2023/06/08 3:26:38 am gmt+5:30,22,others,once a week,beauty and personal care,no,few times a month,categories,first page,3,no,often,changed my mind or no longer need the item,often,no,occasionally,no,2,no,2,3,product recommendations,customer service responsiveness
2023/06/08 3:27:23 am gmt+5:30,25,male,few times a month,clothing and fashion;home and kitchen,no,multiple times a day,filter,multiple pages,3,no,often,changed my mind or no longer need the item,often,no,moderately,no,3,no,3,3,wide product selection,product quality and accuracy
2023/06/08 3:27:57 am gmt+5:30,28,female,few times a month,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,yes,multiple times a day,keyword,multiple pages,1,yes,often,found a better price elsewhere,often,no,moderately,yes,1,yes,1,1,product recommendations,customer service responsiveness
2023/06/08 3:28:23 am gmt+5:30,17,prefer not to say,few times a month,clothing and fashion;home and kitchen;others,no,rarely,filter,first page,3,no,often,changed my mind or no longer need the item,never,no,never,sometimes,5,sometimes,5,5,user-friendly website/app interface,shipping speed and reliability
2023/06/08 3:29:26 am gmt+5:30,16,male,once a month,clothing and fashion;others,no,rarely,keyword,first page,4,no,sometimes,changed my mind or no longer need the item,rarely,no,heavily,no,4,no,4,4,user-friendly website/app interface,customer service responsiveness
2023/06/08 3:30:05 am gmt+5:30,32,male,less than once a month,groceries and gourmet food;beauty and personal care;others,yes,multiple times a day,keyword,multiple pages,1,maybe,often,changed my mind or no longer need the item,often,no,moderately,sometimes,2,sometimes,2,1,wide product selection,customer service responsiveness
2023/06/08 3:30:19 am gmt+5:30,27,female,once a month,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen,no,few times a month,categories,multiple pages,1,yes,sometimes,changed my mind or no longer need the item,often,no,heavily,no,1,no,2,2,wide product selection,product quality and accuracy
2023/06/08 3:32:42 am gmt+5:30,18,female,few times a month,groceries and gourmet food;beauty and personal care;clothing and fashion,no,few times a week,keyword,multiple pages,2,no,often,high shipping costs,often,yes,heavily,sometimes,1,no,2,2,competitive prices,shipping speed and reliability
2023/06/08 3:33:39 am gmt+5:30,37,male,less than once a month,others,no,rarely,others,first page,3,no,often,changed my mind or no longer need the item,never,no,heavily,sometimes,4,yes,4,4,wide product selection,product quality and accuracy
2023/06/08 7:00:57 am gmt+5:30,28,male,once a month,clothing and fashion,yes,few times a week,categories,multiple pages,1,no,sometimes,others,sometimes,yes,heavily,yes,2,sometimes,3,3,product recommendations,product quality and accuracy
2023/06/08 7:33:15 am gmt+5:30,48,female,less than once a month,beauty and personal care,sometimes,rarely,categories,first page,5,yes,always,found a better price elsewhere,rarely,no,occasionally,yes,3,yes,3,2,competitive prices,shipping speed and reliability
2023/06/08 8:59:45 am gmt+5:30,50,female,multiple times a week,home and kitchen,yes,multiple times a day,others,multiple pages,3,yes,sometimes,found a better price elsewhere,always,yes,moderately,yes,2,yes,3,3,wide product selection,product quality and accuracy
2023/06/08 9:16:26 am gmt+5:30,24,female,few times a month,clothing and fashion;home and kitchen,no,few times a week,keyword,multiple pages,1,yes,sometimes,changed my mind or no longer need the item,sometimes,yes,heavily,yes,3,sometimes,3,2,competitive prices,user interface of app
2023/06/08 9:54:40 am gmt+5:30,40,female,few times a month,beauty and personal care;clothing and fashion;others,no,few times a week,categories,first page,1,no,always,found a better price elsewhere,sometimes,no,never,sometimes,5,sometimes,3,4,product recommendations,product quality and accuracy
2023/06/08 10:54:00 am gmt+5:30,25,female,multiple times a week,beauty and personal care;clothing and fashion;home and kitchen,no,multiple times a day,filter,multiple pages,1,yes,always,high shipping costs,always,yes,heavily,yes,1,yes,1,3,quick delivery,reducing packaging waste
2023/06/08 11:59:14 am gmt+5:30,31,male,once a week,beauty and personal care;home and kitchen;others,no,multiple times a day,keyword,multiple pages,4,yes,always,changed my mind or no longer need the item,sometimes,yes,heavily,yes,2,yes,3,1,competitive prices,product quality and accuracy
2023/06/08 12:22:05 pm gmt+5:30,18,female,once a month,clothing and fashion,no,few times a month,keyword,multiple pages,2,no,sometimes,changed my mind or no longer need the item,always,yes,heavily,yes,1,yes,5,3,user-friendly website/app interface,shipping speed and reliability
2023/06/08 2:21:41 pm gmt+5:30,26,female,once a week,beauty and personal care,yes,few times a month,categories,multiple pages,1,yes,often,found a better price elsewhere,sometimes,yes,moderately,yes,1,yes,1,1,wide product selection,product quality and accuracy
2023/06/08 4:29:56 pm gmt+5:30,16,female,less than once a month,clothing and fashion;home and kitchen,no,few times a month,keyword,multiple pages,1,yes,often,others,rarely,yes,heavily,sometimes,1,sometimes,3,3,wide product selection,product quality and accuracy
2023/06/08 5:06:30 pm gmt+5:30,18,male,once a week,beauty and personal care;clothing and fashion,sometimes,multiple times a day,categories,first page,3,no,often,found a better price elsewhere,sometimes,no,moderately,no,3,no,3,2,competitive prices,reducing packaging waste
2023/06/08 5:07:19 pm gmt+5:30,40,male,less than once a month,home and kitchen;others,no,few times a week,keyword,multiple pages,3,no,often,found a better price elsewhere,often,no,moderately,no,2,no,2,2,competitive prices,product quality and accuracy
2023/06/08 5:07:35 pm gmt+5:30,19,female,few times a month,beauty and personal care;clothing and fashion,yes,multiple times a day,keyword,multiple pages,1,maybe,often,found a better price elsewhere,often,yes,heavily,yes,1,yes,1,1,wide product selection,customer service responsiveness
2023/06/08 5:08:27 pm gmt+5:30,16,prefer not to say,few times a month,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,sometimes,few times a week,filter,multiple pages,2,yes,sometimes,changed my mind or no longer need the item,often,no,moderately,sometimes,2,no,1,1,user-friendly website/app interface,shipping speed and reliability
2023/06/08 5:09:31 pm gmt+5:30,43,male,less than once a month,groceries and gourmet food;home and kitchen,no,rarely,keyword,multiple pages,3,maybe,sometimes,found a better price elsewhere,sometimes,no,occasionally,sometimes,1,sometimes,3,2,wide product selection,customer service responsiveness
2023/06/08 5:11:27 pm gmt+5:30,25,prefer not to say,once a week,clothing and fashion;home and kitchen;others,no,few times a month,categories,multiple pages,3,maybe,sometimes,changed my mind or no longer need the item,often,no,occasionally,no,4,no,2,3,competitive prices,reducing packaging waste
